ZIPCODE,HOUSEHOLD,FAMILIES,FAMILIES_CHILD,FAMILIES_NO_CHILD
Zip Code 10475,"$51,951.00","$67,383.00","$51,838.00","$76,474.00"
Zip Code 11001,"$113,300.00","$134,087.00","$142,500.00","$126,994.00"
Zip Code 11004,"$95,436.00","$110,406.00","$104,965.00","$113,256.00"
Zip Code 11005,"$55,313.00","$139,313.00","$139,313.00","$139,313.00"
Zip Code 11040,"$129,344.00","$142,316.00","$172,879.00","$123,484.00"
Zip Code 11096,"$60,675.00","$67,726.00","$57,303.00","$69,375.00"
Zip Code 11101,"$75,581.00","$82,636.00","$71,175.00","$85,750.00"
Zip Code 11102,"$71,382.00","$75,440.00","$70,625.00","$76,609.00"
Zip Code 11103,"$76,234.00","$81,250.00","$65,463.00","$87,625.00"
Zip Code 11104,"$67,751.00","$76,895.00","$62,898.00","$86,176.00"
Zip Code 11105,"$79,883.00","$90,013.00","$89,266.00","$90,222.00"
Zip Code 11106,"$68,530.00","$78,526.00","$60,128.00","$84,849.00"
Zip Code 11109,"$160,625.00","$199,823.00","$199,796.00","$200,030.00"
Zip Code 11201,"$129,248.00","$176,004.00","$212,770.00","$153,573.00"
Zip Code 11203,"$54,457.00","$68,184.00","$52,683.00","$74,184.00"
Zip Code 11204,"$53,093.00","$58,848.00","$55,430.00","$61,938.00"
Zip Code 11205,"$58,872.00","$60,319.00","$52,478.00","$76,273.00"
Zip Code 11206,"$39,753.00","$38,430.00","$31,411.00","$43,341.00"
Zip Code 11207,"$39,382.00","$51,643.00","$41,909.00","$60,492.00"
Zip Code 11208,"$42,403.00","$50,726.00","$42,306.00","$58,472.00"
Zip Code 11209,"$77,917.00","$101,737.00","$105,378.00","$99,627.00"
Zip Code 11210,"$69,385.00","$80,453.00","$77,935.00","$80,736.00"
Zip Code 11211,"$81,228.00","$63,639.00","$51,088.00","$80,625.00"
Zip Code 11212,"$26,521.00","$41,115.00","$31,196.00","$48,587.00"
Zip Code 11213,"$44,831.00","$51,262.00","$45,618.00","$61,229.00"
Zip Code 11214,"$56,911.00","$64,478.00","$59,230.00","$70,241.00"
Zip Code 11215,"$132,091.00","$170,511.00","$198,075.00","$149,919.00"
Zip Code 11216,"$67,795.00","$79,242.00","$90,183.00","$76,490.00"
Zip Code 11217,"$119,375.00","$145,365.00","$174,612.00","$122,331.00"
Zip Code 11218,"$73,470.00","$80,422.00","$76,073.00","$83,956.00"
Zip Code 11219,"$40,683.00","$41,839.00","$37,642.00","$52,323.00"
Zip Code 11220,"$50,191.00","$47,150.00","$39,276.00","$55,656.00"
Zip Code 11221,"$56,900.00","$61,331.00","$57,606.00","$63,711.00"
Zip Code 11222,"$93,488.00","$105,557.00","$125,326.00","$95,679.00"
Zip Code 11223,"$54,023.00","$65,254.00","$56,319.00","$70,825.00"
Zip Code 11224,"$32,549.00","$43,584.00","$40,706.00","$45,255.00"
Zip Code 11225,"$59,820.00","$65,968.00","$49,952.00","$75,721.00"
