STATION,DAILY_ACTIVITY,AVG_DAILY_ACTIVITY,ZIPCODE
QUEENS PLAZA,508079.0,6685.0,11101
40 ST LOWERY ST,503657.0,6627.0,11104
NORWOOD 205 ST,503595.0,6626.0,10467
GREENPOINT AV,503419.0,6624.0,11222
PRINCE ST,498325.0,6557.0,10012
EXCHANGE PLACE,496478.0,6533.0,7302
EAST BROADWAY,496394.0,6532.0,10002
3 AV 138 ST,496027.0,6527.0,10454
BROADWAY JCT,491868.0,6472.0,11233
30 AV,490694.0,6456.0,11102
CORTLANDT ST,482947.0,6355.0,10007
NEVINS ST,479687.0,6312.0,11217
157 ST,477131.0,6278.0,10032
191 ST,476470.0,6269.0,10040
ASTORIA BLVD,475859.0,6261.0,11102
8 ST-NYU,474778.0,6247.0,10003
ELMHURST AV,474706.0,6246.0,11373
PAVONIA/NEWPORT,470263.0,6188.0,7310
57 ST,469344.0,6176.0,10019
21 ST-QNSBRIDGE,458521.0,6033.0,11101
MYRTLE AV,455863.0,5998.0,11206
E 180 ST,453763.0,5971.0,10460
INWOOD-207 ST,452506.0,5954.0,10034
CLINTON-WASH AV,451743.0,5944.0,11205
BAY RIDGE AV,451207.0,5937.0,11220
SUTTER AV-RUTLD,450811.0,5932.0,11212
174 ST,449673.0,5917.0,10457
169 ST,444865.0,5853.0,11432
CENTRAL PK N110,442016.0,5816.0,10026
HIGH ST,440998.0,5803.0,11201
BROOK AV,437057.0,5751.0,10454
OZONE PK LEFFRT,435945.0,5736.0,11419
GRAHAM AV,435878.0,5735.0,11211
46 ST,430305.0,5662.0,11104
EUCLID AV,427003.0,5618.0,11208
SOUTH FERRY,423924.0,5578.0,10004
MORISN AV/SNDVW,423749.0,5576.0,10472
NEWARK BM BW,421083.0,5541.0,7105
PARSONS BLVD,417889.0,5499.0,11432
4AV-9 ST,412657.0,5430.0,11215
THIRTY ST,410176.0,5397.0,11232
14TH STREET,408022.0,5369.0,10011
LORIMER ST,404441.0,5322.0,11211
5 AVE,404092.0,5317.0,10019
ELDER AV,398889.0,5249.0,10472
BLEECKER ST,397590.0,5231.0,10012
45 ST,396431.0,5216.0,11220
WEST FARMS SQ,393557.0,5178.0,10460
20 AV,390519.0,5138.0,11204
CARROLL ST,385402.0,5071.0,11231
NEW LOTS AV,382323.0,5031.0,11208
NORTHERN BLVD,381504.0,5020.0,11377
69 ST,381066.0,5014.0,11377
NEWKIRK AV,377447.0,4966.0,11226
VAN SICLEN AV,374183.0,4923.0,11207
BEDFORD-NOSTRAN,373905.0,4920.0,11216
52 ST,373300.0,4912.0,11377
FRESH POND RD,372214.0,4898.0,11385
ROOSEVELT ISLND,370328.0,4873.0,10044
HOUSTON ST,369182.0,4858.0,10014
WESTCHESTER SQ,369147.0,4857.0,10461
36 AV,366093.0,4817.0,11106
WAKEFIELD/241,365819.0,4813.0,10470
MOSHOLU PKWY,364104.0,4791.0,10467
WORLD TRADE CTR,363577.0,4784.0,10007
HOYT ST,357307.0,4701.0,11201
UNION ST,353270.0,4648.0,11217
HARRISON,348206.0,4582.0,7029
SIMPSON ST,346564.0,4560.0,10459
SARATOGA AV,346158.0,4555.0,11233
MONTROSE AV,344264.0,4530.0,11206
PARKSIDE AV,343958.0,4526.0,11225
E 149 ST,343773.0,4523.0,10455
9 AV,343355.0,4518.0,11232
CRESCENT ST,343334.0,4518.0,11208
QUEENSBORO PLZ,342220.0,4503.0,11101
NEWARK HM HE,339866.0,4472.0,7102
33 ST-RAWSON ST,337501.0,4441.0,11101
116 ST-COLUMBIA,334417.0,4400.0,10027
155 ST,333325.0,4386.0,10039
183 ST,331023.0,4356.0,10458
GRANT AV,329499.0,4336.0,11208
CANARSIE-ROCKAW,328174.0,4318.0,11236
176 ST,325670.0,4285.0,10453
3 AV,323158.0,4252.0,10003
RECTOR ST,322014.0,4237.0,10006
MORGAN AV,321171.0,4226.0,11237
CASTLE HILL AV,318987.0,4197.0,10462
KINGSTON-THROOP,316557.0,4165.0,11216
PELHAM BAY PARK,312516.0,4112.0,10461
JFK JAMAICA CT1,310424.0,4085.0,11435
FAR ROCKAWAY,310125.0,4081.0,11694
MT EDEN AV,309801.0,4076.0,10452
AVENUE J,309676.0,4075.0,11230
WTC-CORTLANDT,308440.0,4058.0,10007
TWENTY THIRD ST,307893.0,4051.0,10010
EASTCHSTER/DYRE,301872.0,3972.0,10466
V.CORTLANDT PK,301422.0,3966.0,10471
74 ST-BROADWAY,298925.0,3933.0,11372
SMITH-9 ST,298008.0,3921.0,11231
WOODLAWN,297753.0,3918.0,10467
67 AV,294927.0,3881.0,11375
METS-WILLETS PT,293829.0,3866.0,11368
NEW UTRECHT AV,291713.0,3838.0,11219
FREEMAN ST,291502.0,3836.0,10459
CLASSON AV,290381.0,3821.0,11205
ROCKAWAY BLVD,286835.0,3774.0,11417
174-175 STS,285321.0,3754.0,10457
JAMAICA VAN WK,281418.0,3703.0,11418
ST LAWRENCE AV,280729.0,3694.0,10472
STERLING ST,272703.0,3588.0,11225
GATES AV,271785.0,3576.0,11221
207 ST,268648.0,3535.0,10034
WILSON AV,267397.0,3518.0,11207
231 ST,263189.0,3463.0,10463
NEW LOTS,259861.0,3419.0,11208
KINGSTON AV,259713.0,3417.0,11216
BAY RIDGE-95 ST,259075.0,3409.0,11209
KNICKERBOCKER,258082.0,3396.0,11237
MYRTLE-WILLOUGH,257718.0,3391.0,11206
163 ST-AMSTERDM,256410.0,3374.0,10032
RALPH AV,254356.0,3347.0,11233
AVENUE M,250281.0,3293.0,11230
JEFFERSON ST,247297.0,3254.0,11237
CORTELYOU RD,245774.0,3234.0,11226
25 ST,243117.0,3199.0,11232
ALLERTON AV,240998.0,3171.0,10467
EASTN PKWY-MUSM,240013.0,3158.0,11238
LACKAWANNA,235829.0,3103.0,14218
SUTPHIN BLVD,234942.0,3091.0,11435
PRESIDENT ST,234697.0,3088.0,11225
FOREST AVE,234152.0,3081.0,11385
YORK ST,233547.0,3073.0,11201
138/GRAND CONC,233476.0,3072.0,10451
4 AV-9 ST,233030.0,3066.0,11215
182-183 STS,230010.0,3026.0,10458
HUNTERS PT AV,225869.0,2972.0,11101
18 ST,225435.0,2966.0,10011
INTERVALE AV,223884.0,2946.0,10459
KOSCIUSZKO ST,222818.0,2932.0,11221
104 ST,222356.0,2926.0,11417
233 ST,222144.0,2923.0,10466
LONGWOOD AV,221623.0,2916.0,10459
PATH WTC 2,220939.0,2907.0,10007
GRAND ARMY PLAZ,220063.0,2896.0,11238
BUHRE AV,218493.0,2875.0,10461
NORWOOD AV,216449.0,2848.0,11208
PENNSYLVANIA AV,216116.0,2844.0,11207
15 ST-PROSPECT,215856.0,2840.0,11215
WINTHROP ST,214413.0,2821.0,11225
9TH STREET,214214.0,2819.0,11215
