STATION,DAILY_ACTIVITY,AVG_DAILY_ACTIVITY
CLEVELAND ST,211605.0,2784.0
EAST 105 ST,206603.0,2718.0
BOWERY,205653.0,2706.0
CYPRESS AV,202298.0,2662.0
CENTRAL AV,201541.0,2652.0
SUTTER AV,200417.0,2637.0
75 ST-ELDERTS,200264.0,2635.0
CLARK ST,199634.0,2627.0
225 ST,199173.0,2621.0
BRIARWOOD,198111.0,2607.0
71 ST,197590.0,2600.0
COURT SQ-23 ST,196842.0,2590.0
85 ST-FOREST PK,196442.0,2585.0
BEVERLEY ROAD,193643.0,2548.0
ST. GEORGE,189709.0,2496.0
HARLEM 148 ST,187449.0,2466.0
NEWARK HW BMEBE,183413.0,2413.0
65 ST,183196.0,2410.0
VAN SICLEN AVE,182835.0,2406.0
6 AV,177875.0,2340.0
PARK PLACE,176759.0,2326.0
DITMAS AV,176752.0,2326.0
SENECA AVE,174746.0,2299.0
JACKSON AV,174227.0,2292.0
LAFAYETTE AV,173905.0,2288.0
80 ST,172518.0,2270.0
ALABAMA AV,171376.0,2255.0
HEWES ST,170778.0,2247.0
MARBLE HILL-225,163194.0,2147.0
OCEAN PKWY,160996.0,2118.0
JUNIUS ST,159407.0,2097.0
BROAD ST,158937.0,2091.0
39 AV,158350.0,2084.0
NEREID AV,156307.0,2057.0
BURKE AV,153447.0,2019.0
25 AV,151429.0,1992.0
219 ST,151171.0,1989.0
BEVERLY RD,150883.0,1985.0
NECK RD,149865.0,1972.0
SHEPHERD AV,148155.0,1949.0
ZEREGA AV,147899.0,1946.0
HOWARD BCH JFK,146124.0,1923.0
WHITLOCK AV,145830.0,1919.0
CHAUNCEY ST,142768.0,1879.0
LIVONIA AV,138467.0,1822.0
CITY HALL,136576.0,1797.0
MORRIS PARK,136545.0,1797.0
FRANKLIN ST,134159.0,1765.0
RIT-MANHATTAN,134108.0,1765.0
LIBERTY AV,130900.0,1722.0
AVENUE H,130666.0,1719.0
121 ST,129094.0,1699.0
BUSHWICK AV,128046.0,1685.0
NEWARK C,126840.0,1669.0
W 8 ST-AQUARIUM,124508.0,1638.0
RIT-ROOSEVELT,123088.0,1620.0
BEACH 67 ST,123082.0,1620.0
BAYCHESTER AV,117001.0,1539.0
238 ST,116522.0,1533.0
BRONX PARK EAST,115658.0,1522.0
21 ST,113232.0,1490.0
88 ST,112177.0,1476.0
55 ST,111546.0,1468.0
BEACH 25 ST,109692.0,1443.0
MIDDLETOWN RD,108544.0,1428.0
75 AV,108281.0,1425.0
AVENUE N,107892.0,1420.0
AVENUE X,106280.0,1398.0
BEACH 60 ST,102093.0,1343.0
AVENUE P,97530.0,1283.0
BOTANIC GARDEN,91755.0,1207.0
190 ST,91504.0,1204.0
CYPRESS HILLS,90420.0,1190.0
AQUEDUCT N.COND,85904.0,1130.0
BAY 50 ST,83834.0,1103.0
ATLANTIC AV,83184.0,1095.0
E 143/ST MARY'S,81176.0,1068.0
AVENUE I,79410.0,1045.0
BEACH 36 ST,63092.0,830.0
215 ST,61815.0,813.0
AQUEDUCT RACETR,57418.0,756.0
BEACH 90 ST,56731.0,746.0
NEPTUNE AV,55795.0,734.0
BEACH 44 ST,49878.0,656.0
ROCKAWAY PARK B,46011.0,605.0
BEACH 98 ST,21984.0,289.0
TOMPKINSVILLE,19306.0,254.0
BEACH 105 ST,12053.0,159.0
BROAD CHANNEL,11550.0,152.0
